DateTime,Epicenter,Lat,Long,Magnitude
2015-04-25 14:40:00,Kabre,27.65,85.63,5.7
2015-04-25 14:48:00,Nuwakot,27.91,85.33,5.3
2015-04-25 15:15:00,Sindhupalchowk,28.0,85.6,5.5
2015-04-25 15:28:00,Rasuwa,28.29,85.16,4.6
2015-04-25 16:08:00,Sindhupalchowk,27.87,85.8,4.1
2015-04-25 16:25:00,Sindhupalchowk,27.86,85.85,4.0
2015-04-25 16:50:00,Sindhupalchowk,27.91,85.5,4.6
2015-04-25 17:26:00,Rasuwa,28.14,85.28,4.1
2015-04-25 18:02:00,Nuwakot,28.0,85.4,4.9
2015-04-25 18:24:00,Dolakha,27.82,86.05,4.5
2015-04-25 18:29:00,Gorkha,28.16,84.71,5.5
2015-04-25 19:15:00,Rasuwa,28.1,85.2,4.7
2015-04-25 19:38:00,Nuwakot,27.79,85.16,4.1
2015-04-25 21:13:00,Rasuwa,28.29,85.16,4.6
2015-04-25 21:53:00,Sindhupalchowk,27.87,85.8,4.1
2015-04-26 00:41:00,Sindhupalchowk,27.89,85.6,5.0
2015-04-26 00:53:00,Dolakha,27.68,85.95,4.0
2015-04-26 02:02:00,Nuwakot,27.79,85.15,4.0
2015-04-26 02:14:00,Sindhupalchowk,27.72,85.97,4.5
2015-04-26 02:27:00,Gorkha,28.31,84.97,4.5
2015-04-26 03:32:00,Dolakha,27.65,85.97,4.0
2015-04-26 03:53:00,Kathmandu,27.67,85.3,4.0
2015-04-26 03:55:00,Sindhupalchowk,27.95,85.87,5.3
2015-04-26 04:27:00,Dolakha,27.83,86.06,4.0
2015-04-26 05:36:00,Sindhupalchowk,27.91,85.55,4.2
2015-04-26 05:59:00,Sindhupalchowk,27.94,85.55,4.1
2015-04-26 06:28:00,Kathmandu,27.71,85.43,4.6
2015-04-26 07:14:00,Sindhupalchowk,27.93,85.56,4.1
2015-04-26 07:34:00,Rasuwa,28.05,85.35,4.0
2015-04-26 07:37:00,Gorkha,28.14,84.71,4.2
2015-04-26 07:41:00,Sindhupalchowk,27.93,85.56,4.4
2015-04-26 07:53:00,Rasuwa,28.25,85.83,4.0
2015-04-26 07:59:00,Gorkha,28.24,84.82,4.3
2015-04-26 08:02:00,Sindhupalchowk,27.6,85.96,4.8
2015-04-26 08:34:00,Gorkha,27.98,84.99,4.0
2015-04-26 08:37:00,Sindhupalchowk,27.82,85.8,4.8
2015-04-26 10:46:00,Nuwakot,27.99,85.02,5.5
2015-04-26 11:10:00,Kathmandu,27.69,85.25,4.0
2015-04-26 11:11:00,Dolakha,27.67,86.07,4.5
2015-04-26 11:17:00,Rasuwa,28.05,85.34,4.0
2015-04-26 11:45:00,Kathmandu,27.67,85.28,4.0
2015-04-26 12:01:00,Nuwakot,27.84,85.12,4.0
